VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,source_month,source_file
2,2025-07-27 04:47:39,2025-07-27 05:00:30,N,1.0,127,78,2.0,5.87,25.4,1.0,0.5,0.0,0.0,,1.0,27.9,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-12 16:53:57,2025-07-12 17:13:37,N,1.0,82,92,2.0,5.63,26.8,0.0,0.5,0.0,0.0,,1.0,28.3,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-07 02:04:16,2025-07-07 02:12:15,N,1.0,95,56,1.0,1.63,10.7,1.0,0.5,2.64,0.0,,1.0,15.84,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-17 15:49:19,2025-07-17 15:56:01,N,1.0,43,75,6.0,0.48,7.9,0.0,0.5,0.0,0.0,,1.0,9.4,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-09 10:45:00,2025-07-09 10:56:00,,,74,138,,6.47,28.51,0.0,0.5,7.39,6.94,,1.0,44.34,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-02 23:01:55,2025-07-02 23:15:00,N,1.0,42,236,1.0,2.94,16.3,1.0,0.5,2.0,0.0,,1.0,23.55,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
1,2025-07-03 15:38:08,2025-07-03 15:52:50,N,1.0,74,41,1.0,1.8,12.8,0.0,1.5,2.85,0.0,,1.0,17.15,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-23 17:05:20,2025-07-23 17:34:59,N,1.0,243,265,1.0,13.17,52.7,2.5,0.5,11.98,3.18,,1.0,71.86,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-21 16:05:32,2025-07-21 16:16:50,N,1.0,43,43,1.0,1.83,12.8,2.5,0.5,5.86,0.0,,1.0,25.41,1.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
6,2025-07-19 10:14:10,2025-07-19 11:20:39,,,208,137,,12.41,2.9,0.0,0.5,0.0,0.0,,0.3,35.61,,,,0.0,7,green_tripdata_2025-07.parquet
6,2025-07-25 15:15:04,2025-07-25 16:23:01,,,218,68,,17.24,2.9,0.0,0.5,0.0,6.94,,0.3,55.62,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-06 00:37:50,2025-07-06 00:42:38,N,1.0,166,116,1.0,1.06,7.2,1.0,0.5,1.94,0.0,,1.0,11.64,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
1,2025-07-01 18:20:59,2025-07-01 18:29:36,N,1.0,75,74,1.0,1.3,10.0,2.5,1.5,3.5,0.0,,1.0,17.5,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-29 23:50:42,2025-07-30 00:00:38,N,1.0,66,33,1.0,0.72,9.3,1.0,0.5,0.0,0.0,,1.0,11.8,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-01 09:37:20,2025-07-01 09:53:04,N,1.0,74,166,1.0,1.99,15.6,0.0,0.5,4.28,0.0,,1.0,21.38,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-18 23:29:24,2025-07-18 23:33:35,N,1.0,130,197,2.0,0.77,6.5,1.0,0.5,0.0,0.0,,1.0,9.0,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-16 20:42:06,2025-07-16 20:59:28,N,1.0,74,152,1.0,2.18,15.6,1.0,0.5,1.22,0.0,,1.0,19.32,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-29 15:32:53,2025-07-29 15:47:10,N,1.0,75,166,1.0,2.34,15.6,0.0,0.5,3.42,0.0,,1.0,20.52,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-30 19:17:33,2025-07-30 19:24:45,N,1.0,74,75,1.0,1.25,9.3,2.5,0.5,3.32,0.0,,1.0,16.62,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
1,2025-07-14 17:32:28,2025-07-14 17:44:10,N,1.0,82,129,1.0,1.1,9.3,2.5,1.5,2.0,0.0,,1.0,15.3,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-18 16:53:00,2025-07-18 17:24:00,,,244,90,,8.8,46.73,0.0,0.5,10.35,0.0,,1.0,62.08,,,,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-20 03:28:20,2025-07-20 03:29:20,N,5.0,80,36,2.0,0.17,70.0,0.0,0.0,14.2,0.0,,1.0,85.2,1.0,2.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-07 18:54:33,2025-07-07 19:01:26,N,1.0,74,75,1.0,1.02,8.6,2.5,0.5,0.0,0.0,,1.0,12.6,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
6,2025-07-29 12:16:55,2025-07-29 12:27:48,,,94,235,,2.15,2.9,0.0,0.5,0.0,0.0,,0.3,16.0,,,,0.0,7,green_tripdata_2025-07.parquet
6,2025-07-23 09:10:08,2025-07-23 09:23:40,,,177,17,,2.2,0.0,0.0,0.5,0.0,0.0,,0.3,16.0,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-24 11:51:42,2025-07-24 12:26:12,N,1.0,75,186,1.0,6.23,37.3,0.0,0.5,8.46,0.0,,1.0,50.76,1.0,1.0,2.75,0.75,7,green_tripdata_2025-07.parquet
6,2025-07-05 08:41:47,2025-07-05 08:55:52,,,137,231,,2.78,2.9,0.0,0.5,0.0,0.0,,0.3,16.0,,,,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-07 18:42:47,2025-07-07 18:53:52,N,1.0,41,75,1.0,2.15,13.5,2.5,0.5,4.38,0.0,,1.0,21.88,1.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-11 15:17:20,2025-07-11 15:37:25,N,1.0,74,238,1.0,2.61,19.1,0.0,0.5,0.0,0.0,,1.0,20.6,2.0,1.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-18 12:30:00,2025-07-18 12:48:00,,,74,162,,5.0,23.14,0.0,0.5,0.0,0.0,,1.0,28.14,,,,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-09 08:37:24,2025-07-09 08:47:45,N,5.0,260,7,1.0,1.39,15.0,0.0,0.0,0.0,0.0,,1.0,16.0,1.0,2.0,0.0,0.0,7,green_tripdata_2025-07.parquet
2,2025-07-12 13:47:54,2025-07-12 14:15:15,N,1.0,41,68,1.0,7.19,35.2,0.0,0.5,8.04,0.0,,1.0,48.24,1.0,1.0,2.75,0.75,7,green_tripdata_2025-07.parquet
2,2025-07-10 12:22:15,2025-07-10 13:04:53,N,1.0,116,140,1.0,5.06,38.0,0.0,0.5,0.0,0.0,,1.0,42.25,2.0,1.0,2.75,0.0,7,green_tripdata_2025-07.parquet
