VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,source_month,source_file
2,2025-09-06 10:09:00,2025-09-06 10:35:26,1.0,2.6,1.0,N,90,237,1,23.3,0.0,0.5,5.61,0.0,1.0,33.66,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
1,2025-09-02 01:32:53,2025-09-02 01:55:40,1.0,12.1,1.0,N,132,53,2,46.4,2.75,0.5,0.0,0.0,1.0,50.65,0.0,1.75,0.0,9,yellow_tripdata_2025-09.parquet
1,2025-09-13 21:30:10,2025-09-13 21:40:50,1.0,1.7,1.0,N,164,142,1,11.4,4.25,0.5,3.45,0.0,1.0,20.6,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
1,2025-09-04 11:55:13,2025-09-04 12:46:57,1.0,13.4,99.0,N,231,182,1,47.5,0.0,0.5,0.0,0.0,0.0,48.0,0.0,0.0,0.0,9,yellow_tripdata_2025-09.parquet
1,2025-09-04 05:38:13,2025-09-04 06:00:04,1.0,5.2,1.0,N,163,231,1,24.0,4.25,0.5,5.95,0.0,1.0,35.7,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-12 15:35:33,2025-09-12 15:53:04,2.0,2.5,1.0,N,43,163,1,17.7,0.0,0.5,3.0,0.0,1.0,24.7,2.5,0.0,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-08 20:39:22,2025-09-08 20:40:57,1.0,0.44,1.0,N,239,239,1,4.4,1.0,0.5,1.88,0.0,1.0,11.28,2.5,0.0,0.0,9,yellow_tripdata_2025-09.parquet
2,2025-09-08 23:51:54,2025-09-08 23:57:41,,0.76,,,246,68,0,7.47,0.0,0.5,0.0,0.0,1.0,12.22,,,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-24 12:11:54,2025-09-24 12:42:01,1.0,1.12,1.0,N,100,163,1,24.0,0.0,0.5,5.75,0.0,1.0,34.5,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
1,2025-09-02 12:57:00,2025-09-02 13:00:26,2.0,0.8,1.0,N,262,263,1,5.8,2.5,0.5,1.47,0.0,1.0,11.27,2.5,0.0,0.0,9,yellow_tripdata_2025-09.parquet
7,2025-09-24 19:44:04,2025-09-24 19:44:04,2.0,2.64,1.0,Y,79,161,4,17.0,0.0,0.5,0.0,0.0,1.0,24.25,2.5,0.0,0.75,9,yellow_tripdata_2025-09.parquet
2,2025-09-28 19:00:21,2025-09-28 19:05:41,1.0,1.1,1.0,N,263,140,1,7.9,0.0,0.5,2.38,0.0,1.0,14.28,2.5,0.0,0.0,9,yellow_tripdata_2025-09.parquet
